generation,trial,p,propertyType,property
20,50,0.55,b,0.0
20,50,0.55,a,0.998046875
20,50,0.55,s,0.9970703125
20,50,0.55,c,0.9976956909337756
20,50,0.55,e,0.9980303813674077
19,50,0.55,b,0.0
19,50,0.55,a,0.9990234375
19,50,0.55,s,0.99609375
19,50,0.55,c,1.0
19,50,0.55,e,0.9990151906837038
18,50,0.55,b,0.0
18,50,0.55,a,0.9970703125
18,50,0.55,s,0.9970703125
18,50,0.55,c,1.0
18,50,0.55,e,0.9970455720511116
17,50,0.55,b,0.0
17,50,0.55,a,1.0
17,50,0.55,s,1.0
17,50,0.55,c,1.0
17,50,0.55,e,1.0
16,50,0.55,b,0.0
16,50,0.55,a,1.0
16,50,0.55,s,0.994140625
16,50,0.55,c,1.0
16,50,0.55,e,1.0
15,50,0.55,b,0.0
15,50,0.55,a,0.994140625
15,50,0.55,s,0.7412109375
15,50,0.55,c,0.9941383093120348
15,50,0.55,e,0.9940911441022232
14,50,0.55,b,0.0
14,50,0.55,a,0.740234375
14,50,0.55,s,0.740234375
14,50,0.55,c,0.8625623976996574
14,50,0.55,e,0.7606913361400399
13,50,0.55,b,0.0
13,50,0.55,a,1.0
13,50,0.55,s,1.0
13,50,0.55,c,1.0
13,50,0.55,e,1.0
12,50,0.55,b,0.0
12,50,0.55,a,1.0
12,50,0.55,s,0.9990234375
12,50,0.55,c,1.0
12,50,0.55,e,1.0
11,50,0.55,b,0.0
11,50,0.55,a,0.9990234375
11,50,0.55,s,0.958984375
11,50,0.55,c,0.9976956909337756
11,50,0.55,e,0.9990151906837038
10,50,0.55,b,0.0
10,50,0.55,a,0.9599609375
10,50,0.55,s,0.974609375
10,50,0.55,c,0.9711025966016243
10,50,0.55,e,0.9596228180318586
9,50,0.55,b,0.0
9,50,0.55,a,0.9345703125
9,50,0.55,s,0.9287109375
9,50,0.55,c,0.9572795099334256
9,50,0.55,e,0.9340177758081591
8,50,0.55,b,0.0
8,50,0.55,a,0.994140625
8,50,0.55,s,0.994140625
8,50,0.55,c,0.9912247709914077
8,50,0.55,e,0.9940911441022232
7,50,0.55,b,0.0
7,50,0.55,a,1.0
7,50,0.55,s,1.0
7,50,0.55,c,1.0
7,50,0.55,e,1.0
6,50,0.55,b,0.0
6,50,0.55,a,1.0
6,50,0.55,s,1.0
6,50,0.55,c,1.0
6,50,0.55,e,1.0
5,50,0.55,b,0.0
5,50,0.55,a,1.0
5,50,0.55,s,1.0
5,50,0.55,c,1.0
5,50,0.55,e,1.0
4,50,0.55,b,0.0
4,50,0.55,a,1.0
4,50,0.55,s,0.9951171875
4,50,0.55,c,1.0
4,50,0.55,e,1.0
3,50,0.55,b,0.0
3,50,0.55,a,0.9951171875
3,50,0.55,s,0.921875
3,50,0.55,c,0.9976956909337756
3,50,0.55,e,0.9950759534185193
2,50,0.55,b,0.0
2,50,0.55,a,0.92578125
2,50,0.55,s,0.5341796875
2,50,0.55,c,0.9482302240946362
2,50,0.55,e,0.9281089199103824
1,50,0.55,b,0.43359375
1,50,0.55,a,0.56640625
1,50,0.55,s,1.0
1,50,0.55,c,-0.016949152542372926
1,50,0.55,e,-0.0025358839894625397
20,49,0.55,b,0.0
20,49,0.55,a,0.4990234375
20,49,0.55,s,0.9990234375
20,49,0.55,c,0.9976956909337756
20,49,0.55,e,0.9990151906837038
19,49,0.55,b,0.0
19,49,0.55,a,0.5
19,49,0.55,s,1.0
19,49,0.55,c,1.0
19,49,0.55,e,1.0
18,49,0.55,b,0.0
18,49,0.55,a,0.5
18,49,0.55,s,1.0
18,49,0.55,c,1.0
18,49,0.55,e,1.0
17,49,0.55,b,0.0
17,49,0.55,a,0.5
17,49,0.55,s,1.0
17,49,0.55,c,1.0
17,49,0.55,e,1.0
16,49,0.55,b,0.0
16,49,0.55,a,0.5
16,49,0.55,s,1.0
16,49,0.55,c,1.0
16,49,0.55,e,1.0
15,49,0.55,b,0.0
15,49,0.55,a,0.5
15,49,0.55,s,0.904296875
15,49,0.55,c,1.0
15,49,0.55,e,1.0
14,49,0.55,b,0.0
14,49,0.55,a,0.455078125
14,49,0.55,s,0.9033203125
