generation,trial,p,propertyType,property
20,50,1.0,b,0.0
20,50,1.0,a,0.9912109375
20,50,1.0,s,0.9736328125
20,50,1.0,c,0.9856765053682327
20,50,1.0,e,0.9911251355882063
19,50,1.0,b,0.0
19,50,1.0,a,0.982421875
19,50,1.0,s,0.982421875
19,50,1.0,c,0.9909696771248788
19,50,1.0,e,0.9822502711764126
18,50,1.0,b,0.0
18,50,1.0,a,1.0
18,50,1.0,s,0.9970703125
18,50,1.0,c,1.0
18,50,1.0,e,1.0
17,50,1.0,b,0.0
17,50,1.0,a,0.9970703125
17,50,1.0,s,0.9970703125
17,50,1.0,c,1.0
17,50,1.0,e,0.9970417118627354
16,50,1.0,b,0.0
16,50,1.0,a,1.0
16,50,1.0,s,1.0
16,50,1.0,c,1.0
16,50,1.0,e,1.0
15,50,1.0,b,0.0
15,50,1.0,a,1.0
15,50,1.0,s,0.998046875
15,50,1.0,c,1.0
15,50,1.0,e,1.0
14,50,1.0,b,0.0
14,50,1.0,a,0.998046875
14,50,1.0,s,0.998046875
14,50,1.0,c,1.0
14,50,1.0,e,0.9980278079084903
13,50,1.0,b,0.0
13,50,1.0,a,1.0
13,50,1.0,s,1.0
13,50,1.0,c,1.0
13,50,1.0,e,1.0
12,50,1.0,b,0.0
12,50,1.0,a,1.0
12,50,1.0,s,1.0
12,50,1.0,c,1.0
12,50,1.0,e,1.0
11,50,1.0,b,0.0
11,50,1.0,a,1.0
11,50,1.0,s,1.0
11,50,1.0,c,1.0
11,50,1.0,e,1.0
10,50,1.0,b,0.0
10,50,1.0,a,1.0
10,50,1.0,s,1.0
10,50,1.0,c,1.0
10,50,1.0,e,1.0
9,50,1.0,b,0.0
9,50,1.0,a,1.0
9,50,1.0,s,0.998046875
9,50,1.0,c,1.0
9,50,1.0,e,1.0
8,50,1.0,b,0.0
8,50,1.0,a,0.998046875
8,50,1.0,s,0.998046875
8,50,1.0,c,0.9976287052051064
8,50,1.0,e,0.9980278079084903
7,50,1.0,b,0.0
7,50,1.0,a,1.0
7,50,1.0,s,1.0
7,50,1.0,c,1.0
7,50,1.0,e,1.0
6,50,1.0,b,0.0
6,50,1.0,a,1.0
6,50,1.0,s,0.998046875
6,50,1.0,c,1.0
6,50,1.0,e,1.0
5,50,1.0,b,0.0
5,50,1.0,a,0.998046875
5,50,1.0,s,0.998046875
5,50,1.0,c,0.9976287052051064
5,50,1.0,e,0.9980278079084903
4,50,1.0,b,0.0
4,50,1.0,a,1.0
