generation,trial,p,propertyType,property
1,1,0.5,e,3.427255149987485e-5
1,1,0.5,c,-0.01198402130492676
1,1,0.5,s,1.0
1,1,0.5,a,0.5003166198730469
1,1,0.5,b,0.4996833801269531
2,1,0.5,e,0.7238619742034297
2,1,0.5,c,0.8948447617959935
2,1,0.5,s,0.16365528106689453
2,1,0.5,a,0.32606983184814453
2,1,0.5,b,0.0
3,1,0.5,e,0.7417180450850764
3,1,0.5,c,0.8708559927934617
3,1,0.5,s,0.4675283432006836
3,1,0.5,a,0.34975337982177734
3,1,0.5,b,0.0
4,1,0.5,e,0.9472922979035049
4,1,0.5,c,0.9755537945464147
4,1,0.5,s,0.6667137145996094
4,1,0.5,a,0.4727010726928711
4,1,0.5,b,0.0
5,1,0.5,e,0.9607485077547432
5,1,0.5,c,0.9756188598497944
5,1,0.5,s,0.9077234268188477
5,1,0.5,a,0.4843120574951172
5,1,0.5,b,0.0
6,1,0.5,e,0.6360755882196583
6,1,0.5,c,0.8611783145567352
6,1,0.5,s,0.5552701950073242
6,1,0.5,a,0.30213165283203125
6,1,0.5,b,0.0
7,1,0.5,e,0.731172497853911
7,1,0.5,c,0.88260298682092
7,1,0.5,s,0.41152095794677734
7,1,0.5,a,0.34516048431396484
7,1,0.5,b,0.0
8,1,0.5,e,0.9700834254005685
8,1,0.5,c,0.9848408625938131
8,1,0.5,s,0.685093879699707
8,1,0.5,a,0.48503875732421875
8,1,0.5,b,0.0
9,1,0.5,e,0.5199181122134853
9,1,0.5,c,0.8480588965908018
9,1,0.5,s,0.41316699981689453
9,1,0.5,a,0.2160968780517578
9,1,0.5,b,0.0
10,1,0.5,e,0.7160439210498744
10,1,0.5,c,0.9428293356127792
10,1,0.5,s,0.3015871047973633
10,1,0.5,a,0.33203125
10,1,0.5,b,9.5367431640625e-7
11,1,0.5,e,0.6871653015243987
11,1,0.5,c,0.8648662761356284
11,1,0.5,s,0.4358081817626953
11,1,0.5,a,0.3253002166748047
11,1,0.5,b,0.0
12,1,0.5,e,0.9527491940643756
12,1,0.5,c,0.9723092901424337
12,1,0.5,s,0.61328125
12,1,0.5,a,0.4811372756958008
12,1,0.5,b,0.0
13,1,0.5,e,0.5160419987341813
13,1,0.5,c,0.7493119703318031
13,1,0.5,s,0.39632606506347656
13,1,0.5,a,0.20360374450683594
13,1,0.5,b,0.0
14,1,0.5,e,0.9415892690136997
14,1,0.5,c,0.9677064691623196
14,1,0.5,s,0.392578125
14,1,0.5,a,0.4707069396972656
14,1,0.5,b,0.0
15,1,0.5,e,0.955340265737964
15,1,0.5,c,0.971165953469027
15,1,0.5,s,0.8973102569580078
15,1,0.5,a,0.47649192810058594
15,1,0.5,b,0.0
16,1,0.5,e,0.8762267194392409
16,1,0.5,c,0.9263945801774477
16,1,0.5,s,0.8246355056762695
16,1,0.5,a,0.42959117889404297
16,1,0.5,b,0.0
17,1,0.5,e,0.9020458519038927
17,1,0.5,c,0.9443126112814686
17,1,0.5,s,0.7783012390136719
17,1,0.5,a,0.4484672546386719
17,1,0.5,b,0.0
18,1,0.5,e,0.911993239363578
18,1,0.5,c,0.9699544060678421
18,1,0.5,s,0.8185853958129883
18,1,0.5,a,0.4562196731567383
18,1,0.5,b,0.0
