generation,trial,p,propertyType,property
1,1,0.55,e,0.0031368093462098936
1,1,0.55,c,0.08309455587392547
1,1,0.55,s,1.0
1,1,0.55,a,0.5341796875
1,1,0.55,b,0.4658203125
2,1,0.55,e,0.46748338973003684
2,1,0.55,c,0.6218161696416594
2,1,0.55,s,0.111328125
2,1,0.55,a,0.21484375
2,1,0.55,b,0.0107421875
3,1,0.55,e,0.8844073406278559
3,1,0.55,c,0.932102783376561
3,1,0.55,s,0.3701171875
3,1,0.55,a,0.44140625
3,1,0.55,b,0.0
4,1,0.55,e,1.0
4,1,0.55,c,1.0
4,1,0.55,s,0.8720703125
4,1,0.55,a,0.5
4,1,0.55,b,0.0
5,1,0.55,e,0.9229382270852372
5,1,0.55,c,0.8995833098885517
5,1,0.55,s,0.923828125
5,1,0.55,a,0.4453125
5,1,0.55,b,0.0
6,1,0.55,e,0.9901202855237483
6,1,0.55,c,0.9840916334688755
6,1,0.55,s,0.927734375
6,1,0.55,a,0.4951171875
6,1,0.55,b,0.0
7,1,0.55,e,1.0
7,1,0.55,c,1.0
7,1,0.55,s,0.990234375
7,1,0.55,a,0.5
7,1,0.55,b,0.0
8,1,0.55,e,0.9990120285523748
8,1,0.55,c,0.9976626779099043
8,1,0.55,s,0.9990234375
8,1,0.55,a,0.4990234375
8,1,0.55,b,0.0
9,1,0.55,e,0.8725516832563539
9,1,0.55,c,0.9201657278214054
9,1,0.55,s,0.8603515625
9,1,0.55,a,0.4296875
9,1,0.55,b,0.0
10,1,0.55,e,1.0
10,1,0.55,c,1.0
10,1,0.55,s,0.859375
10,1,0.55,a,0.5
10,1,0.55,b,0.0
11,1,0.55,e,0.9980240571047496
11,1,0.55,c,1.0
11,1,0.55,s,0.998046875
11,1,0.55,a,0.498046875
11,1,0.55,b,0.0
12,1,0.55,e,1.0
12,1,0.55,c,1.0
12,1,0.55,s,0.998046875
12,1,0.55,a,0.5
12,1,0.55,b,0.0
13,1,0.55,e,0.9980240571047496
13,1,0.55,c,0.9976626779099043
13,1,0.55,s,0.998046875
13,1,0.55,a,0.5
13,1,0.55,b,0.0
14,1,0.55,e,1.0
14,1,0.55,c,1.0
14,1,0.55,s,0.998046875
14,1,0.55,a,0.5
14,1,0.55,b,0.0
15,1,0.55,e,0.8705757403611035
15,1,0.55,c,0.8878262901886339
15,1,0.55,s,0.8603515625
15,1,0.55,a,0.43359375
15,1,0.55,b,0.0
16,1,0.55,e,0.8853953120754811
16,1,0.55,c,0.9304644181925646
16,1,0.55,s,0.7587890625
16,1,0.55,a,0.4267578125
16,1,0.55,b,0.0
17,1,0.55,e,0.9841924568379974
17,1,0.55,c,0.9821054527034541
17,1,0.55,s,0.873046875
17,1,0.55,a,0.4921875
17,1,0.55,b,0.0
18,1,0.55,e,1.0
18,1,0.55,c,1.0
18,1,0.55,s,0.984375
18,1,0.55,a,0.5
18,1,0.55,b,0.0
19,1,0.55,e,1.0
19,1,0.55,c,1.0
19,1,0.55,s,1.0
19,1,0.55,a,0.5
19,1,0.55,b,0.0
20,1,0.55,e,0.9990120285523748
20,1,0.55,c,0.9976626779099043
20,1,0.55,s,0.9990234375
20,1,0.55,a,0.5
20,1,0.55,b,0.0
1,2,0.55,e,-0.00871884802529207
1,2,0.55,c,-0.0315186246418338
1,2,0.55,s,1.0
1,2,0.55,a,0.580078125
1,2,0.55,b,0.419921875
2,2,0.55,e,0.7688146812557117
2,2,0.55,c,0.9253399564612855
2,2,0.55,s,0.4423828125
2,2,0.55,a,0.75390625
2,2,0.55,b,0.0
3,2,0.55,e,0.9565292563044928
3,2,0.55,c,0.964015756813301
3,2,0.55,s,0.771484375
3,2,0.55,a,0.95703125
3,2,0.55,b,0.0
4,2,0.55,e,0.8962629979993578
4,2,0.55,c,0.9625319346768809
4,2,0.55,s,0.8642578125
4,2,0.55,a,0.8955078125
4,2,0.55,b,0.0
5,2,0.55,e,1.0
5,2,0.55,c,1.0
5,2,0.55,s,0.8955078125
5,2,0.55,a,1.0
5,2,0.55,b,0.0
6,2,0.55,e,1.0
6,2,0.55,c,1.0
6,2,0.55,s,1.0
6,2,0.55,a,1.0
6,2,0.55,b,0.0
7,2,0.55,e,0.9861683997332477
7,2,0.55,c,0.9776102668291298
7,2,0.55,s,0.986328125
7,2,0.55,a,0.986328125
7,2,0.55,b,0.0
8,2,0.55,e,0.9891323140761232
8,2,0.55,c,0.9976626779099043
8,2,0.55,s,0.9794921875
8,2,0.55,a,0.9892578125
8,2,0.55,b,0.0
9,2,0.55,e,0.9980240571047496
9,2,0.55,c,0.9957736955582954
9,2,0.55,s,0.9873046875
9,2,0.55,a,0.998046875
9,2,0.55,b,0.0
10,2,0.55,e,0.9950601427618742
10,2,0.55,c,0.9976626779099043
10,2,0.55,s,0.9931640625
10,2,0.55,a,0.9951171875
10,2,0.55,b,0.0
11,2,0.55,e,0.9110825697137352
11,2,0.55,c,0.9429135222815367
11,2,0.55,s,0.8994140625
11,2,0.55,a,0.904296875
11,2,0.55,b,0.0
12,2,0.55,e,0.9920962284189987
12,2,0.55,c,0.9940543309354165
12,2,0.55,s,0.9052734375
12,2,0.55,a,0.9921875
12,2,0.55,b,0.0
13,2,0.55,e,1.0
13,2,0.55,c,1.0
13,2,0.55,s,0.9921875
13,2,0.55,a,1.0
13,2,0.55,b,0.0
14,2,0.55,e,1.0
14,2,0.55,c,1.0
14,2,0.55,s,1.0
14,2,0.55,a,1.0
14,2,0.55,b,0.0
15,2,0.55,e,0.9120705411613604
15,2,0.55,c,0.9221657217248711
15,2,0.55,s,0.91015625
15,2,0.55,a,0.91015625
15,2,0.55,b,0.0
16,2,0.55,e,0.9990120285523748
16,2,0.55,c,1.0
16,2,0.55,s,0.9091796875
16,2,0.55,a,0.9990234375
16,2,0.55,b,0.0
17,2,0.55,e,0.9980240571047496
17,2,0.55,c,0.9957736955582954
17,2,0.55,s,0.9970703125
17,2,0.55,a,0.998046875
17,2,0.55,b,0.0
18,2,0.55,e,1.0
18,2,0.55,c,1.0
18,2,0.55,s,0.998046875
18,2,0.55,a,1.0
18,2,0.55,b,0.0
19,2,0.55,e,0.6304986785881888
19,2,0.55,c,0.739936380401065
19,2,0.55,s,0.6162109375
19,2,0.55,a,0.6162109375
19,2,0.55,b,0.0
20,2,0.55,e,0.6611257934645689
20,2,0.55,c,0.8615375864629324
20,2,0.55,s,0.533203125
20,2,0.55,a,0.654296875
20,2,0.55,b,0.0
1,3,0.55,e,-0.0018030478919159247
1,3,0.55,c,-0.0315186246418338
1,3,0.55,s,1.0
1,3,0.55,a,0.537109375
1,3,0.55,b,0.462890625
2,3,0.55,e,0.4467359893299084
2,3,0.55,c,0.3378836968419947
2,3,0.55,s,0.060546875
2,3,0.55,a,0.0888671875
2,3,0.55,b,0.00390625
3,3,0.55,e,0.6235828784548126
3,3,0.55,c,0.42676604854036865
3,3,0.55,s,0.2333984375
3,3,0.55,a,0.11328125
3,3,0.55,b,0.0
4,3,0.55,e,0.6324746214834391
4,3,0.55,c,0.6226938450026277
4,3,0.55,s,0.4130859375
4,3,0.55,a,0.171875
4,3,0.55,b,0.0
5,3,0.55,e,0.8468644256180996
5,3,0.55,c,0.8875121301003941
5,3,0.55,s,0.4501953125
5,3,0.55,a,0.3759765625
5,3,0.55,b,0.0
6,3,0.55,e,0.9506014276187418
6,3,0.55,c,0.9924453395595139
6,3,0.55,s,0.794921875
6,3,0.55,a,0.474609375
6,3,0.55,b,0.0
7,3,0.55,e,0.9950601427618742
7,3,0.55,c,0.9917170088453208
7,3,0.55,s,0.9453125
7,3,0.55,a,0.4951171875
7,3,0.55,b,0.0
8,3,0.55,e,0.9970360856571245
8,3,0.55,c,0.9940543309354165
8,3,0.55,s,0.9921875
8,3,0.55,a,0.4970703125
8,3,0.55,b,0.0
9,3,0.55,e,1.0
9,3,0.55,c,1.0
9,3,0.55,s,0.9970703125
9,3,0.55,a,0.5
9,3,0.55,b,0.0
10,3,0.55,e,0.9960481142094993
10,3,0.55,c,0.9976626779099043
10,3,0.55,s,0.99609375
10,3,0.55,a,0.49609375
10,3,0.55,b,0.0
11,3,0.55,e,1.0
11,3,0.55,c,1.0
11,3,0.55,s,0.99609375
11,3,0.55,a,0.5
11,3,0.55,b,0.0
12,3,0.55,e,1.0
12,3,0.55,c,1.0
12,3,0.55,s,1.0
12,3,0.55,a,0.5
12,3,0.55,b,0.0
13,3,0.55,e,0.9743127423617457
13,3,0.55,c,0.9915473911165908
13,3,0.55,s,0.974609375
13,3,0.55,a,0.4912109375
13,3,0.55,b,0.0
14,3,0.55,e,1.0
14,3,0.55,c,1.0
14,3,0.55,s,0.974609375
14,3,0.55,a,0.5
14,3,0.55,b,0.0
15,3,0.55,e,0.9990120285523748
15,3,0.55,c,0.9976626779099043
15,3,0.55,s,0.9990234375
15,3,0.55,a,0.5
15,3,0.55,b,0.0
16,3,0.55,e,0.9990120285523748
16,3,0.55,c,1.0
16,3,0.55,s,0.998046875
16,3,0.55,a,0.4990234375
16,3,0.55,b,0.0
17,3,0.55,e,0.9713488280188702
17,3,0.55,c,0.9828160602234248
17,3,0.55,s,0.970703125
17,3,0.55,a,0.4853515625
17,3,0.55,b,0.0
18,3,0.55,e,1.0
18,3,0.55,c,1.0
18,3,0.55,s,0.9716796875
18,3,0.55,a,0.5
18,3,0.55,b,0.0
19,3,0.55,e,0.9960481142094993
19,3,0.55,c,0.9917170088453208
19,3,0.55,s,0.99609375
19,3,0.55,a,0.4970703125
19,3,0.55,b,0.0
20,3,0.55,e,0.8340207967989725
20,3,0.55,c,0.9014300178497434
20,3,0.55,s,0.8310546875
20,3,0.55,a,0.421875
20,3,0.55,b,0.0009765625
1,4,0.55,e,-0.007730876577666907
1,4,0.55,c,-0.0315186246418338
1,4,0.55,s,1.0
1,4,0.55,a,0.5439453125
1,4,0.55,b,0.4560546875
2,4,0.55,e,0.619630992664312
2,4,0.55,c,0.6343142522016896
2,4,0.55,s,0.0302734375
2,4,0.55,a,0.0234375
2,4,0.55,b,0.0224609375
3,4,0.55,e,0.7441153950650826
3,4,0.55,c,0.7924875996716206
3,4,0.55,s,0.6337890625
3,4,0.55,a,0.0078125
3,4,0.55,b,0.001953125
4,4,0.55,e,0.8824313977326055
4,4,0.55,c,0.8719361939784992
4,4,0.55,s,0.7080078125
4,4,0.55,a,0.0
4,4,0.55,b,0.00390625
5,4,0.55,e,0.9565292563044928
5,4,0.55,c,0.9515458631771746
5,4,0.55,s,0.8916015625
5,4,0.55,a,0.0
5,4,0.55,b,0.0
6,4,0.55,e,0.842912539827599
6,4,0.55,c,0.8479757171499752
6,4,0.55,s,0.8076171875
6,4,0.55,a,0.0009765625
6,4,0.55,b,0.021484375
7,4,0.55,e,0.8182132536369698
7,4,0.55,c,0.9358406506907222
7,4,0.55,s,0.73828125
7,4,0.55,a,0.0
7,4,0.55,b,0.0009765625
8,4,0.55,e,0.9604811420949935
8,4,0.55,c,0.9737675577743864
8,4,0.55,s,0.859375
8,4,0.55,a,0.0
8,4,0.55,b,0.0
9,4,0.55,e,0.9980240571047496
9,4,0.55,c,1.0
9,4,0.55,s,0.958984375
9,4,0.55,a,0.0
9,4,0.55,b,0.0
10,4,0.55,e,1.0
10,4,0.55,c,1.0
10,4,0.55,s,0.998046875
10,4,0.55,a,0.0
10,4,0.55,b,0.0
11,4,0.55,e,1.0
11,4,0.55,c,1.0
11,4,0.55,s,1.0
11,4,0.55,a,0.0
11,4,0.55,b,0.0
12,4,0.55,e,1.0
12,4,0.55,c,1.0
12,4,0.55,s,1.0
12,4,0.55,a,0.0
12,4,0.55,b,0.0
13,4,0.55,e,1.0
13,4,0.55,c,1.0
13,4,0.55,s,1.0
13,4,0.55,a,0.0
13,4,0.55,b,0.0
14,4,0.55,e,1.0
14,4,0.55,c,1.0
14,4,0.55,s,1.0
14,4,0.55,a,0.0
14,4,0.55,b,0.0
15,4,0.55,e,0.9387457702472398
15,4,0.55,c,0.9567031788219132
15,4,0.55,s,0.9384765625
15,4,0.55,a,0.0
15,4,0.55,b,0.0
16,4,0.55,e,1.0
16,4,0.55,c,1.0
16,4,0.55,s,0.9384765625
16,4,0.55,a,0.0
16,4,0.55,b,0.0
17,4,0.55,e,0.9950601427618742
17,4,0.55,c,1.0
17,4,0.55,s,0.9951171875
17,4,0.55,a,0.0
17,4,0.55,b,0.0
18,4,0.55,e,0.9970360856571245
18,4,0.55,c,0.9976626779099043
18,4,0.55,s,0.9921875
18,4,0.55,a,0.0
18,4,0.55,b,0.0
19,4,0.55,e,0.9970360856571245
19,4,0.55,c,0.9940543309354165
19,4,0.55,s,0.994140625
19,4,0.55,a,0.0
19,4,0.55,b,0.0
20,4,0.55,e,1.0
20,4,0.55,c,1.0
20,4,0.55,s,0.9970703125
20,4,0.55,a,0.0
20,4,0.55,b,0.0
1,5,0.55,e,-0.007730876577666907
1,5,0.55,c,-0.0315186246418338
1,5,0.55,s,1.0
1,5,0.55,a,0.5419921875
1,5,0.55,b,0.4580078125
2,5,0.55,e,0.5820880776545557
2,5,0.55,c,0.7956016127617618
2,5,0.55,s,0.0634765625
2,5,0.55,a,0.123046875
2,5,0.55,b,0.00390625
3,5,0.55,e,0.8932990836564824
3,5,0.55,c,0.9297357878801021
3,5,0.55,s,0.5263671875
3,5,0.55,a,0.0849609375
3,5,0.55,b,0.0
4,5,0.55,e,0.9901202855237483
4,5,0.55,c,1.0
4,5,0.55,s,0.8798828125
4,5,0.55,a,0.009765625
4,5,0.55,b,0.0
5,5,0.55,e,0.9980240571047496
5,5,0.55,c,0.9953253558198086
5,5,0.55,s,0.9873046875
5,5,0.55,a,0.0009765625
5,5,0.55,b,0.0
6,5,0.55,e,1.0
6,5,0.55,c,1.0
6,5,0.55,s,0.998046875
6,5,0.55,a,0.0
6,5,0.55,b,0.0
7,5,0.55,e,0.7510311951984587
7,5,0.55,c,0.8863937423344708
7,5,0.55,s,0.7431640625
7,5,0.55,a,0.0
7,5,0.55,b,0.0
8,5,0.55,e,0.9664089707807444
8,5,0.55,c,0.9596140917839607
8,5,0.55,s,0.7685546875
8,5,0.55,a,0.0
8,5,0.55,b,0.0
9,5,0.55,e,0.9792525995998715
9,5,0.55,c,0.981624214796673
9,5,0.55,s,0.947265625
9,5,0.55,a,0.0
9,5,0.55,b,0.0
10,5,0.55,e,0.9990120285523748
10,5,0.55,c,1.0
10,5,0.55,s,0.978515625
10,5,0.55,a,0.0
10,5,0.55,b,0.0
11,5,0.55,e,0.9990120285523748
11,5,0.55,c,1.0
11,5,0.55,s,0.998046875
11,5,0.55,a,0.0
11,5,0.55,b,0.0
12,5,0.55,e,1.0
12,5,0.55,c,1.0
12,5,0.55,s,0.9990234375
12,5,0.55,a,0.0
12,5,0.55,b,0.0
13,5,0.55,e,0.9832044853903722
13,5,0.55,c,0.9784092893192525
13,5,0.55,s,0.9833984375
13,5,0.55,a,0.0078125
13,5,0.55,b,0.0
14,5,0.55,e,0.9970360856571245
14,5,0.55,c,0.9957736955582954
14,5,0.55,s,0.98046875
14,5,0.55,a,0.0
14,5,0.55,b,0.0
15,5,0.55,e,0.7609109096747104
15,5,0.55,c,0.8642248952678713
15,5,0.55,s,0.734375
15,5,0.55,a,0.0224609375
15,5,0.55,b,0.0
16,5,0.55,e,0.9743127423617457
16,5,0.55,c,0.9862439407354449
16,5,0.55,s,0.71875
16,5,0.55,a,0.0
16,5,0.55,b,0.0
17,5,0.55,e,0.9970360856571245
17,5,0.55,c,0.9976626779099043
17,5,0.55,s,0.970703125
17,5,0.55,a,0.0
17,5,0.55,b,0.0
18,5,0.55,e,1.0
18,5,0.55,c,1.0
18,5,0.55,s,0.9970703125
18,5,0.55,a,0.0
18,5,0.55,b,0.0
19,5,0.55,e,1.0
19,5,0.55,c,1.0
19,5,0.55,s,1.0
19,5,0.55,a,0.0
19,5,0.55,b,0.0
20,5,0.55,e,1.0
20,5,0.55,c,1.0
20,5,0.55,s,1.0
20,5,0.55,a,0.0
20,5,0.55,b,0.0
1,6,0.55,e,-0.00871884802529207
1,6,0.55,c,-0.0315186246418338
1,6,0.55,s,1.0
1,6,0.55,a,0.5341796875
1,6,0.55,b,0.4658203125
2,6,0.55,e,0.6057993923975596
2,6,0.55,c,0.6352190624893073
2,6,0.55,s,0.0419921875
2,6,0.55,a,0.0048828125
2,6,0.55,b,0.083984375
3,6,0.55,e,0.7747425099414627
3,6,0.55,c,0.8306981884301935
3,6,0.55,s,0.4130859375
3,6,0.55,a,0.0126953125
3,6,0.55,b,0.005859375
4,6,0.55,e,0.9150344555042359
4,6,0.55,c,0.9545026719688138
4,6,0.55,s,0.59375
4,6,0.55,a,0.015625
4,6,0.55,b,0.0
5,6,0.55,e,0.9930841998666239
5,6,0.55,c,1.0
5,6,0.55,s,0.921875
5,6,0.55,a,0.015625
5,6,0.55,b,0.0
6,6,0.55,e,0.9970360856571245
6,6,0.55,c,0.9940543309354165
6,6,0.55,s,0.990234375
6,6,0.55,a,0.015625
6,6,0.55,b,0.0
7,6,0.55,e,0.8468644256180996
7,6,0.55,c,0.8593611566856724
7,6,0.55,s,0.8408203125
7,6,0.55,a,0.0126953125
7,6,0.55,b,0.0
8,6,0.55,e,0.9990120285523748
8,6,0.55,c,1.0
8,6,0.55,s,0.83984375
8,6,0.55,a,0.015625
8,6,0.55,b,0.0
9,6,0.55,e,0.9980240571047496
9,6,0.55,c,0.9976626779099043
9,6,0.55,s,0.9970703125
9,6,0.55,a,0.015625
9,6,0.55,b,0.0
10,6,0.55,e,0.988144342628498
10,6,0.55,c,0.9957736955582954
10,6,0.55,s,0.984375
10,6,0.55,a,0.013671875
10,6,0.55,b,0.0
11,6,0.55,e,0.994072171314249
11,6,0.55,c,0.9976626779099043
11,6,0.55,s,0.982421875
11,6,0.55,a,0.015625
11,6,0.55,b,0.0
12,6,0.55,e,0.9426976560377405
12,6,0.55,c,0.9769481998816892
12,6,0.55,s,0.9375
12,6,0.55,a,0.015625
12,6,0.55,b,0.0
13,6,0.55,e,0.982216513942747
13,6,0.55,c,0.9688851841510345
13,6,0.55,s,0.927734375
