generation,trial,p,propertyType,property
1,1,0.55,e,0.01098901098901099
1,1,0.55,c,0.09090909090909087
1,1,0.55,s,1.0
1,1,0.55,a,0.5546875
1,1,0.55,b,0.4453125
2,1,0.55,e,0.41193941193941197
2,1,0.55,c,0.3672585635548028
2,1,0.55,s,0.0791015625
2,1,0.55,a,0.126953125
2,1,0.55,b,0.0078125
3,1,0.55,e,0.703989703989704
3,1,0.55,c,0.8373137964344
3,1,0.55,s,0.2822265625
3,1,0.55,a,0.337890625
3,1,0.55,b,0.0009765625
4,1,0.55,e,0.8891198891198892
4,1,0.55,c,0.9835057092097369
4,1,0.55,s,0.748046875
4,1,0.55,a,0.4482421875
4,1,0.55,b,0.0009765625
5,1,0.55,e,0.9831699831699832
5,1,0.55,c,0.9934923134670504
5,1,0.55,s,0.888671875
5,1,0.55,a,0.4990234375
5,1,0.55,b,0.0
6,1,0.55,e,1.0
6,1,0.55,c,1.0
6,1,0.55,s,0.9833984375
6,1,0.55,a,0.5
6,1,0.55,b,0.0
7,1,0.55,e,1.0
7,1,0.55,c,1.0
7,1,0.55,s,1.0
7,1,0.55,a,0.5
7,1,0.55,b,0.0
8,1,0.55,e,0.994059994059994
8,1,0.55,c,0.9917876025199345
8,1,0.55,s,0.994140625
8,1,0.55,a,0.4990234375
8,1,0.55,b,0.0
9,1,0.55,e,1.0
9,1,0.55,c,1.0
9,1,0.55,s,0.994140625
9,1,0.55,a,0.5
9,1,0.55,b,0.0
10,1,0.55,e,1.0
10,1,0.55,c,1.0
10,1,0.55,s,1.0
10,1,0.55,a,0.5
10,1,0.55,b,0.0
11,1,0.55,e,1.0
11,1,0.55,c,1.0
11,1,0.55,s,1.0
11,1,0.55,a,0.5
11,1,0.55,b,0.0
12,1,0.55,e,0.9970299970299971
12,1,0.55,c,1.0
12,1,0.55,s,0.9970703125
12,1,0.55,a,0.4970703125
12,1,0.55,b,0.0
13,1,0.55,e,1.0
13,1,0.55,c,1.0
13,1,0.55,s,0.9970703125
13,1,0.55,a,0.5
13,1,0.55,b,0.0
14,1,0.55,e,1.0
14,1,0.55,c,1.0
14,1,0.55,s,1.0
14,1,0.55,a,0.5
14,1,0.55,b,0.0
15,1,0.55,e,1.0
15,1,0.55,c,1.0
15,1,0.55,s,1.0
15,1,0.55,a,0.5
15,1,0.55,b,0.0
16,1,0.55,e,0.9970299970299971
16,1,0.55,c,1.0
16,1,0.55,s,0.9970703125
16,1,0.55,a,0.498046875
16,1,0.55,b,0.0
17,1,0.55,e,0.9970299970299971
17,1,0.55,c,0.9958097151984237
17,1,0.55,s,0.994140625
17,1,0.55,a,0.4990234375
17,1,0.55,b,0.0
18,1,0.55,e,1.0
18,1,0.55,c,1.0
18,1,0.55,s,0.9970703125
18,1,0.55,a,0.5
18,1,0.55,b,0.0
19,1,0.55,e,1.0
19,1,0.55,c,1.0
19,1,0.55,s,1.0
19,1,0.55,a,0.5
19,1,0.55,b,0.0
20,1,0.55,e,1.0
20,1,0.55,c,1.0
20,1,0.55,s,1.0
20,1,0.55,a,0.5
20,1,0.55,b,0.0
1,2,0.55,e,0.0050490050490050505
1,2,0.55,c,-0.02272727272727275
1,2,0.55,s,1.0
1,2,0.55,a,0.53515625
1,2,0.55,b,0.46484375
2,2,0.55,e,0.507969507969508
2,2,0.55,c,0.593689523110167
2,2,0.55,s,0.0732421875
2,2,0.55,a,0.0078125
2,2,0.55,b,0.1435546875
3,2,0.55,e,0.5297495297495297
3,2,0.55,c,0.6819744924390461
3,2,0.55,s,0.3701171875
3,2,0.55,a,0.009765625
3,2,0.55,b,0.0595703125
4,2,0.55,e,0.6495396495396496
4,2,0.55,c,0.800755127247189
4,2,0.55,s,0.541015625
4,2,0.55,a,0.005859375
4,2,0.55,b,0.0673828125
5,2,0.55,e,0.5554895554895555
5,2,0.55,c,0.7515616123712207
5,2,0.55,s,0.4462890625
5,2,0.55,a,0.0068359375
5,2,0.55,b,0.0732421875
6,2,0.55,e,0.5871695871695872
6,2,0.55,c,0.8817288329008898
6,2,0.55,s,0.4462890625
6,2,0.55,a,0.0
6,2,0.55,b,0.07421875
7,2,0.55,e,0.6099396099396099
7,2,0.55,c,0.8745165951620599
7,2,0.55,s,0.728515625
7,2,0.55,a,0.0
7,2,0.55,b,0.0732421875
8,2,0.55,e,0.8604098604098604
8,2,0.55,c,0.9236110286302622
8,2,0.55,s,0.5947265625
8,2,0.55,a,0.0
8,2,0.55,b,0.103515625
9,2,0.55,e,0.9841599841599842
9,2,0.55,c,0.9958097151984237
9,2,0.55,s,0.8564453125
9,2,0.55,a,0.0
9,2,0.55,b,0.125
10,2,0.55,e,0.9712899712899713
10,2,0.55,c,0.9760148186581096
10,2,0.55,s,0.9560546875
10,2,0.55,a,0.0
10,2,0.55,b,0.12109375
11,2,0.55,e,1.0
11,2,0.55,c,1.0
11,2,0.55,s,0.9716796875
11,2,0.55,a,0.0
11,2,0.55,b,0.125
12,2,0.55,e,0.9485199485199485
12,2,0.55,c,0.9483070026393303
12,2,0.55,s,0.94921875
12,2,0.55,a,0.0
12,2,0.55,b,0.119140625
13,2,0.55,e,0.7465597465597466
13,2,0.55,c,0.8652726903928206
13,2,0.55,s,0.623046875
13,2,0.55,a,0.0
13,2,0.55,b,0.0810546875
14,2,0.55,e,0.9623799623799624
14,2,0.55,c,0.9842272161381749
14,2,0.55,s,0.6767578125
14,2,0.55,a,0.0
14,2,0.55,b,0.12109375
15,2,0.55,e,0.9871299871299871
15,2,0.55,c,0.986614730121394
15,2,0.55,s,0.9658203125
15,2,0.55,a,0.0
15,2,0.55,b,0.123046875
16,2,0.55,e,1.0
16,2,0.55,c,1.0
16,2,0.55,s,0.9873046875
16,2,0.55,a,0.0
16,2,0.55,b,0.125
17,2,0.55,e,0.998019998019998
17,2,0.55,c,1.0
17,2,0.55,s,0.998046875
17,2,0.55,a,0.0
17,2,0.55,b,0.125
18,2,0.55,e,0.999009999009999
18,2,0.55,c,1.0
18,2,0.55,s,0.9970703125
18,2,0.55,a,0.0
18,2,0.55,b,0.125
19,2,0.55,e,0.996039996039996
19,2,0.55,c,0.9958097151984237
19,2,0.55,s,0.9951171875
19,2,0.55,a,0.0
19,2,0.55,b,0.125
20,2,0.55,e,0.9762399762399763
20,2,0.55,c,0.9782259279771623
20,2,0.55,s,0.97265625
20,2,0.55,a,0.0
20,2,0.55,b,0.1181640625
1,3,0.55,e,-0.0098010098010098
1,3,0.55,c,-0.02272727272727275
1,3,0.55,s,1.0
1,3,0.55,a,0.5244140625
1,3,0.55,b,0.4755859375
2,3,0.55,e,0.7406197406197407
2,3,0.55,c,0.7572537348734167
2,3,0.55,s,0.2734375
2,3,0.55,a,0.5126953125
2,3,0.55,b,0.0
3,3,0.55,e,0.799029799029799
3,3,0.55,c,0.8850803884006294
3,3,0.55,s,0.7158203125
3,3,0.55,a,0.701171875
3,3,0.55,b,0.0
4,3,0.55,e,0.9891099891099892
4,3,0.55,c,0.9911749117356771
4,3,0.55,s,0.6943359375
4,3,0.55,a,0.9892578125
