generation,trial,p,propertyType,property
20,10,1.0,b,0.0
20,10,1.0,a,1.0
20,10,1.0,s,1.0
19,10,1.0,b,0.0
19,10,1.0,a,1.0
19,10,1.0,s,0.998046875
18,10,1.0,b,0.0
18,10,1.0,a,0.998046875
18,10,1.0,s,0.99609375
17,10,1.0,b,0.0
17,10,1.0,a,0.998046875
17,10,1.0,s,0.998046875
16,10,1.0,b,0.0
16,10,1.0,a,1.0
16,10,1.0,s,1.0
15,10,1.0,b,0.0
15,10,1.0,a,1.0
15,10,1.0,s,1.0
14,10,1.0,b,0.0
14,10,1.0,a,1.0
14,10,1.0,s,1.0
13,10,1.0,b,0.0
13,10,1.0,a,1.0
13,10,1.0,s,0.998046875
12,10,1.0,b,0.0
12,10,1.0,a,0.998046875
12,10,1.0,s,0.998046875
11,10,1.0,b,0.0
11,10,1.0,a,1.0
11,10,1.0,s,1.0
10,10,1.0,b,0.0
10,10,1.0,a,1.0
10,10,1.0,s,1.0
9,10,1.0,b,0.0
9,10,1.0,a,1.0
9,10,1.0,s,1.0
8,10,1.0,b,0.0
8,10,1.0,a,1.0
8,10,1.0,s,0.998046875
7,10,1.0,b,0.0
7,10,1.0,a,0.998046875
7,10,1.0,s,0.998046875
6,10,1.0,b,0.0
6,10,1.0,a,1.0
6,10,1.0,s,0.998046875
5,10,1.0,b,0.0
5,10,1.0,a,0.998046875
5,10,1.0,s,0.998046875
4,10,1.0,b,0.0
4,10,1.0,a,1.0
4,10,1.0,s,1.0
3,10,1.0,b,0.0
3,10,1.0,a,1.0
3,10,1.0,s,1.0
2,10,1.0,b,0.0
2,10,1.0,a,1.0
2,10,1.0,s,1.0
1,10,1.0,b,0.0
1,10,1.0,a,1.0
1,10,1.0,s,1.0
20,9,1.0,b,0.0
20,9,1.0,a,1.0
20,9,1.0,s,1.0
19,9,1.0,b,0.0
19,9,1.0,a,1.0
19,9,1.0,s,1.0
18,9,1.0,b,0.0
18,9,1.0,a,1.0
18,9,1.0,s,1.0
17,9,1.0,b,0.0
17,9,1.0,a,1.0
17,9,1.0,s,1.0
16,9,1.0,b,0.0
16,9,1.0,a,1.0
16,9,1.0,s,1.0
15,9,1.0,b,0.0
15,9,1.0,a,1.0
15,9,1.0,s,1.0
14,9,1.0,b,0.0
14,9,1.0,a,1.0
14,9,1.0,s,1.0
13,9,1.0,b,0.0
13,9,1.0,a,1.0
13,9,1.0,s,1.0
12,9,1.0,b,0.0
12,9,1.0,a,1.0
12,9,1.0,s,1.0
11,9,1.0,b,0.0
11,9,1.0,a,1.0
11,9,1.0,s,1.0
10,9,1.0,b,0.0
10,9,1.0,a,1.0
10,9,1.0,s,1.0
9,9,1.0,b,0.0
9,9,1.0,a,1.0
9,9,1.0,s,1.0
8,9,1.0,b,0.0
8,9,1.0,a,1.0
8,9,1.0,s,1.0
7,9,1.0,b,0.0
7,9,1.0,a,1.0
7,9,1.0,s,1.0
6,9,1.0,b,0.0
6,9,1.0,a,1.0
6,9,1.0,s,1.0
5,9,1.0,b,0.0
5,9,1.0,a,1.0
5,9,1.0,s,1.0
4,9,1.0,b,0.0
4,9,1.0,a,1.0
4,9,1.0,s,1.0
3,9,1.0,b,0.0
3,9,1.0,a,1.0
3,9,1.0,s,1.0
2,9,1.0,b,0.0
2,9,1.0,a,1.0
2,9,1.0,s,1.0
1,9,1.0,b,0.0
1,9,1.0,a,1.0
1,9,1.0,s,1.0
20,8,1.0,b,0.0
20,8,1.0,a,1.0
20,8,1.0,s,1.0
19,8,1.0,b,0.0
19,8,1.0,a,1.0
19,8,1.0,s,1.0
18,8,1.0,b,0.0
18,8,1.0,a,1.0
18,8,1.0,s,1.0
17,8,1.0,b,0.0
17,8,1.0,a,1.0
17,8,1.0,s,1.0
16,8,1.0,b,0.0
16,8,1.0,a,1.0
16,8,1.0,s,1.0
15,8,1.0,b,0.0
15,8,1.0,a,1.0
15,8,1.0,s,1.0
14,8,1.0,b,0.0
14,8,1.0,a,1.0
14,8,1.0,s,1.0
13,8,1.0,b,0.0
13,8,1.0,a,1.0
13,8,1.0,s,1.0
12,8,1.0,b,0.0
12,8,1.0,a,1.0
12,8,1.0,s,1.0
11,8,1.0,b,0.0
11,8,1.0,a,1.0
11,8,1.0,s,1.0
10,8,1.0,b,0.0
10,8,1.0,a,1.0
10,8,1.0,s,0.998046875
9,8,1.0,b,0.0
9,8,1.0,a,0.998046875
9,8,1.0,s,0.998046875
8,8,1.0,b,0.0
8,8,1.0,a,1.0
8,8,1.0,s,1.0
7,8,1.0,b,0.0
7,8,1.0,a,1.0
7,8,1.0,s,0.99609375
6,8,1.0,b,0.0
6,8,1.0,a,0.99609375
6,8,1.0,s,0.99609375
5,8,1.0,b,0.0
5,8,1.0,a,1.0
5,8,1.0,s,1.0
4,8,1.0,b,0.0
4,8,1.0,a,1.0
4,8,1.0,s,1.0
3,8,1.0,b,0.0
3,8,1.0,a,1.0
3,8,1.0,s,1.0
2,8,1.0,b,0.0
2,8,1.0,a,1.0
2,8,1.0,s,1.0
1,8,1.0,b,0.0
1,8,1.0,a,1.0
1,8,1.0,s,1.0
20,7,1.0,b,0.0
20,7,1.0,a,1.0
20,7,1.0,s,1.0
19,7,1.0,b,0.0
19,7,1.0,a,1.0
19,7,1.0,s,1.0
18,7,1.0,b,0.0
18,7,1.0,a,1.0
18,7,1.0,s,0.99609375
17,7,1.0,b,0.0
17,7,1.0,a,0.99609375
17,7,1.0,s,0.99609375
16,7,1.0,b,0.0
16,7,1.0,a,1.0
16,7,1.0,s,1.0
15,7,1.0,b,0.0
15,7,1.0,a,1.0
15,7,1.0,s,1.0
14,7,1.0,b,0.0
14,7,1.0,a,1.0
14,7,1.0,s,1.0
13,7,1.0,b,0.0
13,7,1.0,a,1.0
13,7,1.0,s,1.0
12,7,1.0,b,0.0
12,7,1.0,a,1.0
12,7,1.0,s,1.0
11,7,1.0,b,0.0
11,7,1.0,a,1.0
11,7,1.0,s,1.0
10,7,1.0,b,0.0
10,7,1.0,a,1.0
10,7,1.0,s,1.0
9,7,1.0,b,0.0
9,7,1.0,a,1.0
9,7,1.0,s,1.0
8,7,1.0,b,0.0
8,7,1.0,a,1.0
8,7,1.0,s,1.0
7,7,1.0,b,0.0
7,7,1.0,a,1.0
7,7,1.0,s,1.0
6,7,1.0,b,0.0
6,7,1.0,a,1.0
6,7,1.0,s,1.0
5,7,1.0,b,0.0
5,7,1.0,a,1.0
5,7,1.0,s,1.0
4,7,1.0,b,0.0
4,7,1.0,a,1.0
4,7,1.0,s,1.0
3,7,1.0,b,0.0
3,7,1.0,a,1.0
3,7,1.0,s,1.0
2,7,1.0,b,0.0
2,7,1.0,a,1.0
2,7,1.0,s,1.0
1,7,1.0,b,0.0
1,7,1.0,a,1.0
1,7,1.0,s,1.0
20,6,1.0,b,0.0
20,6,1.0,a,1.0
20,6,1.0,s,1.0
19,6,1.0,b,0.0
19,6,1.0,a,1.0
19,6,1.0,s,1.0
18,6,1.0,b,0.0
18,6,1.0,a,1.0
18,6,1.0,s,1.0
17,6,1.0,b,0.0
17,6,1.0,a,1.0
17,6,1.0,s,1.0
16,6,1.0,b,0.0
16,6,1.0,a,1.0
16,6,1.0,s,1.0
15,6,1.0,b,0.0
15,6,1.0,a,1.0
15,6,1.0,s,1.0
14,6,1.0,b,0.0
14,6,1.0,a,1.0
14,6,1.0,s,1.0
13,6,1.0,b,0.0
13,6,1.0,a,1.0
13,6,1.0,s,1.0
12,6,1.0,b,0.0
12,6,1.0,a,1.0
12,6,1.0,s,1.0
11,6,1.0,b,0.0
11,6,1.0,a,1.0
11,6,1.0,s,1.0
10,6,1.0,b,0.0
10,6,1.0,a,1.0
10,6,1.0,s,1.0
9,6,1.0,b,0.0
9,6,1.0,a,1.0
9,6,1.0,s,1.0
8,6,1.0,b,0.0
8,6,1.0,a,1.0
8,6,1.0,s,1.0
7,6,1.0,b,0.0
7,6,1.0,a,1.0
7,6,1.0,s,1.0
6,6,1.0,b,0.0
6,6,1.0,a,1.0
6,6,1.0,s,1.0
5,6,1.0,b,0.0
5,6,1.0,a,1.0
5,6,1.0,s,1.0
4,6,1.0,b,0.0
4,6,1.0,a,1.0
4,6,1.0,s,1.0
3,6,1.0,b,0.0
3,6,1.0,a,1.0
3,6,1.0,s,1.0
2,6,1.0,b,0.0
2,6,1.0,a,1.0
2,6,1.0,s,1.0
1,6,1.0,b,0.0
1,6,1.0,a,1.0
1,6,1.0,s,1.0
20,5,1.0,b,0.0
20,5,1.0,a,1.0
20,5,1.0,s,1.0
19,5,1.0,b,0.0
19,5,1.0,a,1.0
19,5,1.0,s,1.0
18,5,1.0,b,0.0
18,5,1.0,a,1.0
18,5,1.0,s,1.0
17,5,1.0,b,0.0
17,5,1.0,a,1.0
17,5,1.0,s,1.0
16,5,1.0,b,0.0
16,5,1.0,a,1.0
16,5,1.0,s,1.0
15,5,1.0,b,0.0
15,5,1.0,a,1.0
15,5,1.0,s,1.0
14,5,1.0,b,0.0
14,5,1.0,a,1.0
14,5,1.0,s,1.0
13,5,1.0,b,0.0
13,5,1.0,a,1.0
13,5,1.0,s,1.0
12,5,1.0,b,0.0
12,5,1.0,a,1.0
12,5,1.0,s,1.0
11,5,1.0,b,0.0
11,5,1.0,a,1.0
11,5,1.0,s,1.0
10,5,1.0,b,0.0
10,5,1.0,a,1.0
10,5,1.0,s,0.994140625
9,5,1.0,b,0.0
9,5,1.0,a,0.994140625
9,5,1.0,s,0.994140625
8,5,1.0,b,0.0
8,5,1.0,a,1.0
8,5,1.0,s,1.0
