generation,trial,p,propertyType,property
1,1,0.55,e,-0.003977370982484742
1,1,0.55,c,-0.037463976945244955
1,1,0.55,s,1.0
1,1,0.55,a,0.55078125
1,1,0.55,b,0.44921875
2,1,0.55,e,0.6185676523629536
2,1,0.55,c,0.8200208228097804
2,1,0.55,s,0.232421875
2,1,0.55,a,0.4140625
2,1,0.55,b,0.0
3,1,0.55,e,0.9456508312952395
3,1,0.55,c,0.9957493364548851
3,1,0.55,s,0.60546875
3,1,0.55,a,0.498046875
3,1,0.55,b,0.0
4,1,0.55,e,1.0
4,1,0.55,c,1.0
4,1,0.55,s,0.9462890625
4,1,0.55,a,0.5
4,1,0.55,b,0.0
5,1,0.55,e,0.9812248326292645
5,1,0.55,c,0.9719821947483652
5,1,0.55,s,0.9814453125
5,1,0.55,a,0.4892578125
5,1,0.55,b,0.0
6,1,0.55,e,0.7460411571432101
6,1,0.55,c,0.7589089360161293
6,1,0.55,s,0.7158203125
6,1,0.55,a,0.36328125
6,1,0.55,b,0.0009765625
7,1,0.55,e,0.9772721658143729
7,1,0.55,c,0.9620331979092498
7,1,0.55,s,0.728515625
7,1,0.55,a,0.486328125
7,1,0.55,b,0.0
8,1,0.55,e,1.0
8,1,0.55,c,1.0
8,1,0.55,s,0.9765625
8,1,0.55,a,0.5
8,1,0.55,b,0.0
9,1,0.55,e,0.9960473331851083
9,1,0.55,c,0.9933985427677283
9,1,0.55,s,0.99609375
9,1,0.55,a,0.4970703125
9,1,0.55,b,0.0
10,1,0.55,e,0.9980236665925541
10,1,0.55,c,1.0
10,1,0.55,s,0.994140625
10,1,0.55,a,0.5
10,1,0.55,b,0.0
11,1,0.55,e,0.9980236665925541
11,1,0.55,c,0.9976492063128432
11,1,0.55,s,0.99609375
11,1,0.55,a,0.5
11,1,0.55,b,0.0
12,1,0.55,e,0.9990118332962771
12,1,0.55,c,0.9976492063128432
12,1,0.55,s,0.9970703125
12,1,0.55,a,0.4990234375
12,1,0.55,b,0.0
13,1,0.55,e,0.8537513278490081
13,1,0.55,c,0.8944710398551386
13,1,0.55,s,0.8046875
13,1,0.55,a,0.4033203125
13,1,0.55,b,0.0
14,1,0.55,e,0.6205439857703995
14,1,0.55,c,0.8559115174542309
14,1,0.55,s,0.5537109375
14,1,0.55,a,0.310546875
14,1,0.55,b,0.0009765625
15,1,0.55,e,0.939721831072902
15,1,0.55,c,0.965418216026301
15,1,0.55,s,0.5927734375
15,1,0.55,a,0.4599609375
15,1,0.55,b,0.0
16,1,0.55,e,0.9940709997776624
16,1,0.55,c,1.0
16,1,0.55,s,0.9404296875
16,1,0.55,a,0.49609375
16,1,0.55,b,0.0
17,1,0.55,e,1.0
17,1,0.55,c,1.0
17,1,0.55,s,0.994140625
17,1,0.55,a,0.5
17,1,0.55,b,0.0
18,1,0.55,e,0.9980236665925541
